Hotel name,Hotel url,Number of reviews,Tripadvisor rating,Rating regarding other hotels in the same city,Location rating,Cleanliness rating,Service rating,Value of money,Paid private parking nearby,Free high speed wifi,Fitness_center,Air conditioning,Minibar,Cable satellite TV,24-hour front desk,Non-smoking hotel,Express check-in / check-out,Baggage storage,Housekeeping,Safe,Family rooms,Count good words,Count bad words,Count total words,Great for walkers,Number of restaurants,Num of attractions
Hotel Brighton - Esprit de France,https://www.tripadvisor.com/Hotel_Review-g187147-d233725-Reviews-Hotel_Brighton_Esprit_de_France-Paris_Ile_de_France.html,"2,450",4.5,4,97.85234000000001,4.9,90.54142,4.5,1,1,0,1,1,0,1,1,0,1,1,1,1,17,0,17,100,229,142
Home MODERNE,https://www.tripadvisor.com/Hotel_Review-g187147-d1639825-Reviews-Home_MODERNE-Paris_Ile_de_France.html,"1,399",4.5,4,75.03448399999999,3.8,93.215188,4.7,0,1,0,1,0,0,1,1,0,1,0,1,0,5,3,2,84,62,14
Hotel Petit Lafayette,https://www.tripadvisor.com/Hotel_Review-g187147-d11963840-Reviews-Hotel_Petit_Lafayette-Paris_Ile_de_France.html,111,5.0,4,97.5,4.9,98.57141999999999,4.9,0,1,0,1,0,0,1,1,1,1,1,1,0,15,0,15,100,525,62
Hotel des Grands Hommes,https://www.tripadvisor.com/Hotel_Review-g187147-d219988-Reviews-Hotel_des_Grands_Hommes-Paris_Ile_de_France.html,"2,165",4.5,4,95.961074,4.8,95.14547999999999,4.8,1,1,0,1,1,0,1,1,0,1,1,1,0,9,1,8,100,310,138
Okko Hotels Paris Porte de Versailles,https://www.tripadvisor.com/Hotel_Review-g187147-d12297633-Reviews-Okko_Hotels_Paris_Porte_de_Versailles-Paris_Ile_de_France.html,498,4.5,4,85.30303,4.3,92.478628,4.6,0,1,1,1,0,0,1,1,1,1,1,1,1,12,1,11,75,13,3
Le Basile Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d274680-Reviews-Le_Basile_Hotel-Paris_Ile_de_France.html,536,5.0,4,100,5.0,96.25,4.8,1,1,0,1,0,1,1,1,1,1,1,1,0,8,0,8,100,467,97
Hotel Bachaumont,https://www.tripadvisor.com/Hotel_Review-g187147-d7776432-Reviews-Hotel_Bachaumont-Paris_Ile_de_France.html,504,4.5,4,97.45902,4.9,95.31746,4.8,1,1,1,1,1,0,1,1,0,1,1,1,0,14,0,14,100,624,133
Hotel Left Bank Saint Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d207573-Reviews-Hotel_Left_Bank_Saint_Germain-Paris_Ile_de_France.html,"1,033",4.5,4,97.3955,4.9,90.46728999999999,4.5,1,1,0,1,1,0,1,1,0,1,1,1,1,13,1,12,100,500,187
citizenM Paris Champs-Elysees,https://www.tripadvisor.com/Hotel_Review-g187147-d23338812-Reviews-CitizenM_Paris_Champs_Elysees-Paris_Ile_de_France.html,165,4.5,4,99.09091000000001,5.0,95.67999999999999,4.8,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,3,100,410,78
Le Mathurin Hotel & Spa Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d488442-Reviews-Le_Mathurin_Hotel_Spa_Paris-Paris_Ile_de_France.html,587,4.5,4,94.21875,4.7,92.54613,4.6,0,1,0,1,1,0,1,1,0,1,1,1,0,17,0,17,100,416,67
Hotel du Triangle d'Or,https://www.tripadvisor.com/Hotel_Review-g187147-d497189-Reviews-Hotel_du_Triangle_d_Or-Paris_Ile_de_France.html,569,4.5,4,94.73214,4.7,92.43902,4.6,1,1,0,1,1,0,1,1,1,1,1,1,0,11,3,8,100,392,103
Hotel Dress Code,https://www.tripadvisor.com/Hotel_Review-g187147-d13009010-Reviews-Hotel_Dress_Code-Paris_Ile_de_France.html,318,4.5,4,97.51412,4.9,97.55814000000001,4.9,1,1,0,1,1,0,1,1,0,1,1,1,1,12,0,12,100,432,109
Best Western Premier Trocadero La Tour,https://www.tripadvisor.com/Hotel_Review-g187147-d197462-Reviews-Best_Western_Premier_Trocadero_La_Tour-Paris_Ile_de_France.html,711,4.0,4,88.68132,4.4,87.80611999999999,4.4,0,1,0,1,1,1,1,1,1,1,1,1,0,13,1,12,100,91,23
Hotel L'interlude,https://www.tripadvisor.com/Hotel_Review-g187147-d236589-Reviews-Hotel_L_interlude-Paris_Ile_de_France.html,713,4.0,4,80.5,4.0,88.241206,4.4,0,1,0,1,0,0,1,0,0,1,0,0,0,15,4,11,94,55,16
Hotel Glasgow Monceau by Patrick Hayat,https://www.tripadvisor.com/Hotel_Review-g187147-d650180-Reviews-Hotel_Glasgow_Monceau_by_Patrick_Hayat-Paris_Ile_de_France.html,704,4.0,4,81.91256600000001,4.1,83.79404,4.2,1,1,0,1,0,0,1,1,1,1,1,1,0,8,0,8,99,123,15
Hotel Apollon Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d265343-Reviews-Hotel_Apollon_Montparnasse-Paris_Ile_de_France.html,"1,203",4.5,4,89.22414,4.5,92.72727,4.6,0,1,0,1,0,0,1,1,0,1,1,1,0,28,1,27,100,135,30
Mercure Paris 17 Batignolles,https://www.tripadvisor.com/Hotel_Review-g187147-d13929767-Reviews-Mercure_Paris_17_Batignolles-Paris_Ile_de_France.html,236,4.5,4,85.19999999999999,4.3,89.904766,4.5,0,1,0,1,0,0,1,1,0,0,0,1,0,12,3,9,95,93,5
Hotel Scarlett,https://www.tripadvisor.com/Hotel_Review-g187147-d10062231-Reviews-Hotel_Scarlett-Paris_Ile_de_France.html,458,4.5,4,85.89473999999998,4.3,97.17172,4.9,0,1,0,1,1,0,1,1,1,1,1,1,0,9,2,7,96,145,33
Hotel R de Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d233583-Reviews-Hotel_R_de_Paris-Paris_Ile_de_France.html,"1,170",5.0,4,91.914892,4.6,97.16418000000002,4.9,0,1,1,1,1,0,1,1,1,1,1,1,0,10,1,9,100,330,82
Pley Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197538-Reviews-Pley_Hotel-Paris_Ile_de_France.html,382,4.5,4,99.13043,5.0,98,4.9,0,1,1,0,0,0,1,1,1,1,1,1,1,6,1,5,100,231,33
Hotel Cayre,https://www.tripadvisor.com/Hotel_Review-g187147-d207663-Reviews-Hotel_Cayre-Paris_Ile_de_France.html,"3,123",4.5,4,95.706214,4.8,93.956832,4.7,1,1,1,1,1,0,1,1,1,1,1,1,0,8,1,7,100,147,59
Best Western Premier Opera Faubourg,https://www.tripadvisor.com/Hotel_Review-g187147-d228697-Reviews-Best_Western_Premier_Opera_Faubourg-Paris_Ile_de_France.html,932,4.0,4,90.62972,4.5,86.01010000000001,4.3,0,1,0,1,1,0,1,1,0,1,1,1,0,14,0,14,100,570,90
Hotel Royal Saint-Honore,https://www.tripadvisor.com/Hotel_Review-g187147-d197422-Reviews-Hotel_Royal_Saint_Honore-Paris_Ile_de_France.html,"1,049",4.5,4,98.096886,4.9,92.1875,4.6,1,1,0,1,1,0,1,1,1,1,0,1,0,7,3,4,100,368,140
Fertel Etoile,https://www.tripadvisor.com/Hotel_Review-g187147-d197515-Reviews-Fertel_Etoile-Paris_Ile_de_France.html,546,4.0,4,92.65625,4.6,79.3985,4.0,0,1,0,1,0,0,1,1,1,1,0,1,0,10,1,9,100,229,22
Hotel Champerret Elysees,https://www.tripadvisor.com/Hotel_Review-g187147-d197510-Reviews-Hotel_Champerret_Elysees-Paris_Ile_de_France.html,448,4.0,4,86.95121999999999,4.3,89.33333400000001,4.5,0,1,0,1,0,1,1,1,0,1,0,1,0,12,0,12,100,124,24
Hotel Monge,https://www.tripadvisor.com/Hotel_Review-g187147-d10328342-Reviews-Hotel_Monge-Paris_Ile_de_France.html,"1,151",5.0,4,96.9863,4.8,99.414634,5.0,0,1,0,1,1,0,1,1,0,1,0,1,1,23,0,23,100,278,89
Hotel Palm - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d232480-Reviews-Hotel_Palm_Astotel-Paris_Ile_de_France.html,"1,886",4.5,4,89.269666,4.5,94.14908,4.7,0,1,0,1,1,0,1,1,0,1,1,1,1,18,0,18,100,536,57
La Villa Haussmann,https://www.tripadvisor.com/Hotel_Review-g187147-d11666465-Reviews-La_Villa_Haussmann-Paris_Ile_de_France.html,376,4.5,4,96.69724000000001,4.8,96.7033,4.8,1,1,1,1,1,0,1,1,1,1,1,1,0,14,1,13,100,242,40
Hotel de l'Abbaye Saint-Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d189227-Reviews-Hotel_de_l_Abbaye_Saint_Germain-Paris_Ile_de_France.html,"1,080",4.5,4,96.5607,4.8,97.580872,4.9,1,1,0,1,0,0,1,1,0,1,0,1,0,6,0,6,100,242,94
Hotel Chatillon Paris Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d529924-Reviews-Hotel_Chatillon_Paris_Montparnasse-Paris_Ile_de_France.html,490,4.0,4,84.96124,4.2,88,4.4,0,1,0,0,0,0,1,1,1,1,1,1,1,5,0,5,96,72,12
Hotel Le Six,https://www.tripadvisor.com/Hotel_Review-g187147-d777347-Reviews-Hotel_Le_Six-Paris_Ile_de_France.html,"2,499",5.0,4,93.26829000000001,4.7,97.387314,4.9,0,1,1,1,1,1,1,1,0,1,1,1,1,6,0,6,100,283,57
Hotel Turenne Le Marais,https://www.tripadvisor.com/Hotel_Review-g187147-d636096-Reviews-Hotel_Turenne_Le_Marais-Paris_Ile_de_France.html,748,4.0,4,94.97908000000001,4.7,86.88172,4.3,1,1,0,1,1,1,1,1,0,1,0,1,0,12,1,11,100,293,146
Babel Hotels Belleville,https://www.tripadvisor.com/Hotel_Review-g187147-d23604488-Reviews-Babel_Hotels_Belleville-Paris_Ile_de_France.html,71,5.0,4,95,4.8,100,5.0,0,0,0,1,0,0,1,1,1,1,1,0,1,11,1,10,99,186,37
Hotel Du Sentier,https://www.tripadvisor.com/Hotel_Review-g187147-d21513086-Reviews-Hotel_Du_Sentier-Paris_Ile_de_France.html,65,5.0,4,92.72727,4.6,92.72727,4.6,1,1,0,1,0,1,1,1,1,1,1,1,1,7,1,6,100,618,135
Le Lapin Blanc,https://www.tripadvisor.com/Hotel_Review-g187147-d197635-Reviews-Le_Lapin_Blanc-Paris_Ile_de_France.html,926,4.5,4,97.31092000000001,4.9,96.033992,4.8,0,1,0,1,1,0,1,1,1,1,1,1,0,14,3,11,100,450,169
Hotel Etoile Saint-Ferdinand by HappyCulture,https://www.tripadvisor.com/Hotel_Review-g187147-d197514-Reviews-Hotel_Etoile_Saint_Ferdinand_by_HappyCulture-Paris_Ile_de_France.html,887,4.0,4,90,4.5,89.2,4.5,1,1,0,1,0,0,1,1,1,1,1,1,0,17,5,12,100,194,19
Millesime Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d236579-Reviews-Millesime_Hotel-Paris_Ile_de_France.html,632,4.5,4,97.9375,4.9,94.97042,4.7,0,1,0,1,1,0,1,1,0,1,0,1,0,11,0,11,100,367,167
Hotel Le 12,https://www.tripadvisor.com/Hotel_Review-g187147-d678590-Reviews-Hotel_Le_12-Paris_Ile_de_France.html,"1,827",4.5,4,92.170754,4.6,96.66965400000001,4.8,0,1,0,1,1,0,1,1,1,1,0,1,0,11,0,11,100,261,27
Hotel Le Quartier Bercy Square Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d228723-Reviews-Hotel_Le_Quartier_Bercy_Square_Paris-Paris_Ile_de_France.html,967,4.0,4,79.22746599999999,4.0,84.06504,4.2,0,1,0,1,0,0,1,1,0,1,1,1,0,9,0,9,93,82,17
Citadines Bastille Marais Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d197440-Reviews-Citadines_Bastille_Marais_Paris-Paris_Ile_de_France.html,"1,148",4.0,4,87.031508,4.4,81.922426,4.1,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,100,297,90
Ibis Paris Grands Boulevards Opera 9eme,https://www.tripadvisor.com/Hotel_Review-g187147-d230486-Reviews-Ibis_Paris_Grands_Boulevards_Opera_9eme-Paris_Ile_de_France.html,"1,691",4.0,4,88.29544999999999,4.4,82.99588,4.1,0,1,0,1,0,0,1,1,1,1,0,0,0,11,3,8,100,633,89
"Le Metropolitan, Paris Tour Eiffel, a Tribute Portfolio Hotel",https://www.tripadvisor.com/Hotel_Review-g187147-d1236762-Reviews-Le_Metropolitan_Paris_Tour_Eiffel_a_Tribute_Portfolio_Hotel-Paris_Ile_de_France.html,898,4.5,4,94.53083,4.7,89.88345199999999,4.5,0,1,1,1,1,0,1,1,0,1,1,1,0,13,4,9,100,128,22
Hotel Elysees Bassano,https://www.tripadvisor.com/Hotel_Review-g187147-d228733-Reviews-Hotel_Elysees_Bassano-Paris_Ile_de_France.html,242,4.0,4,93.84615,4.7,86.769228,4.3,0,1,0,1,1,0,1,1,1,1,0,1,0,14,1,13,100,188,57
Hotel Alfred Sommier,https://www.tripadvisor.com/Hotel_Review-g187147-d14061298-Reviews-Hotel_Alfred_Sommier-Paris_Ile_de_France.html,236,4.5,4,97.43589399999999,4.9,97.5,4.9,0,1,1,1,1,0,1,1,0,1,0,1,1,5,3,2,100,391,75
New Hotel Roblin La Madeleine,https://www.tripadvisor.com/Hotel_Review-g187147-d197540-Reviews-New_Hotel_Roblin_La_Madeleine-Paris_Ile_de_France.html,695,4.0,4,96.48648,4.8,89.15032,4.5,0,1,0,1,1,0,1,1,0,1,1,1,0,6,0,6,100,351,72
Hotel Albe Saint Michel,https://www.tripadvisor.com/Hotel_Review-g187147-d208082-Reviews-Hotel_Albe_Saint_Michel-Paris_Ile_de_France.html,"1,541",4.5,4,97.26600599999999,4.9,92.07898,4.6,0,1,0,1,1,0,1,1,0,1,0,1,0,13,1,12,100,457,153
Melia Paris Vendome,https://www.tripadvisor.com/Hotel_Review-g187147-d228729-Reviews-Melia_Paris_Vendome-Paris_Ile_de_France.html,"1,289",4.0,4,97.4138,4.9,85.98557400000001,4.3,0,1,0,1,1,1,1,1,0,1,1,1,1,17,0,17,100,220,151
Timhotel Montmartre,https://www.tripadvisor.com/Hotel_Review-g187147-d229623-Reviews-Timhotel_Montmartre-Paris_Ile_de_France.html,"1,522",4.0,4,92.1729,4.6,81.316968,4.1,0,1,0,0,0,0,1,1,0,1,0,1,0,7,1,6,100,369,126
Hotel & Spa Royal Madeleine,https://www.tripadvisor.com/Hotel_Review-g187147-d197553-Reviews-Hotel_Spa_Royal_Madeleine-Paris_Ile_de_France.html,164,4.0,4,92.38095200000001,4.6,91.063834,4.6,0,1,1,1,1,0,1,1,0,0,1,1,0,16,3,13,100,418,69
Les Bulles De Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d238380-Reviews-Les_Bulles_De_Paris-Paris_Ile_de_France.html,677,4.0,4,93.12101999999999,4.7,86.32911999999999,4.3,0,1,0,1,1,0,0,1,0,1,0,1,0,17,8,9,100,453,155
Etoile Park Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197522-Reviews-Etoile_Park_Hotel-Paris_Ile_de_France.html,413,4.0,4,95.621892,4.8,86.37168000000001,4.3,1,1,0,1,0,0,1,1,0,1,0,1,0,6,1,5,100,247,33
Melia Paris Champs Elysees,https://www.tripadvisor.com/Hotel_Review-g187147-d228847-Reviews-Melia_Paris_Champs_Elysees-Paris_Ile_de_France.html,844,4.0,4,91.13552999999999,4.6,87.262974,4.4,0,1,0,1,1,0,1,1,0,1,1,1,1,6,8,-2,100,122,20
Roi de Sicile - Rivoli,https://www.tripadvisor.com/Hotel_Review-g187147-d7377792-Reviews-Roi_de_Sicile_Rivoli-Paris_Ile_de_France.html,198,4.5,4,98.66666800000002,4.9,99,5.0,1,1,0,1,0,1,1,1,1,1,1,1,1,13,6,7,100,366,197
Novotel Suites Paris Expo Porte de Versailles,https://www.tripadvisor.com/Hotel_Review-g187147-d8739068-Reviews-Novotel_Suites_Paris_Expo_Porte_de_Versailles-Paris_Ile_de_France.html,536,4.0,4,81.828576,4.1,89.371434,4.5,1,1,1,1,1,0,1,1,0,1,1,1,1,11,7,4,76,34,18
Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d197481-Reviews-Hotel_de_Suede_St_Germain-Paris_Ile_de_France.html,506,4.0,4,87.9452,4.4,85.90908999999999,4.3,0,1,0,1,0,0,1,1,0,1,0,1,0,6,8,-2,100,88,33
"Hotel de Berri Champs-Elysees, a Luxury Collection Hotel, Paris",https://www.tripadvisor.com/Hotel_Review-g187147-d13529863-Reviews-Hotel_de_Berri_Champs_Elysees_a_Luxury_Collection_Hotel_Paris-Paris_Ile_de_France.html,556,5.0,4,97.77777999999999,4.9,98.87324,4.9,0,1,1,1,1,0,1,1,1,1,1,1,0,9,3,6,100,365,74
Paris Art Hotel Quartier Latin by Malone,https://www.tripadvisor.com/Hotel_Review-g187147-d242973-Reviews-Paris_Art_Hotel_Quartier_Latin_by_Malone-Paris_Ile_de_France.html,153,4.5,4,100,5.0,100,5.0,1,1,0,1,0,0,1,1,0,1,1,1,0,15,2,13,100,305,89
Garden Elysee Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197914-Reviews-Garden_Elysee_Hotel-Paris_Ile_de_France.html,641,4.5,4,92.945452,4.6,91.11888,4.6,0,1,1,1,1,1,1,1,0,1,1,1,0,13,1,12,100,171,37
Hotel Le 18 Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d276934-Reviews-Hotel_Le_18_Paris-Paris_Ile_de_France.html,283,4.0,4,73.77049000000001,3.7,88.07692599999999,4.4,1,1,0,1,1,0,1,1,1,1,1,1,0,14,2,12,100,118,10
Hotel Mistral,https://www.tripadvisor.com/Hotel_Review-g187147-d608193-Reviews-Hotel_Mistral-Paris_Ile_de_France.html,"1,553",4.5,4,90.56433999999999,4.5,93.45212000000001,4.7,1,1,0,1,1,0,1,1,0,1,1,1,1,10,0,10,100,198,37
Hotel Eiffel Turenne,https://www.tripadvisor.com/Hotel_Review-g187147-d194232-Reviews-Hotel_Eiffel_Turenne-Paris_Ile_de_France.html,"1,351",4.5,4,96.49681,4.8,96.08974,4.8,0,1,0,1,0,0,1,1,0,1,0,1,0,13,2,11,100,130,40
Staycity Aparthotels Gare de l'Est,https://www.tripadvisor.com/Hotel_Review-g187147-d1238114-Reviews-Staycity_Aparthotels_Gare_de_l_Est-Paris_Ile_de_France.html,"1,216",4.5,4,85.013772,4.3,82.7483,4.1,0,1,0,0,0,0,1,1,1,1,0,0,0,13,1,12,100,379,85
Hotel Romance Malesherbes by Patrick Hayat,https://www.tripadvisor.com/Hotel_Review-g187147-d662527-Reviews-Hotel_Romance_Malesherbes_by_Patrick_Hayat-Paris_Ile_de_France.html,326,4.5,4,85.934066,4.3,89.25532000000001,4.5,0,1,0,0,0,0,1,1,1,1,1,1,0,8,0,8,99,179,24
Hotel Le 123 Elysees - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228783-Reviews-Hotel_Le_123_Elysees_Astotel-Paris_Ile_de_France.html,"2,236",4.5,4,95.428,4.8,93.88164599999999,4.7,0,1,0,1,1,0,1,1,0,1,1,1,1,11,0,11,100,373,56
Maison Albar Hotels - Le Champs-Elysees,https://www.tripadvisor.com/Hotel_Review-g187147-d197501-Reviews-Maison_Albar_Hotels_Le_Champs_Elysees-Paris_Ile_de_France.html,"1,032",4.5,4,97.87056,4.9,93.26488400000001,4.7,0,1,1,1,1,0,1,1,1,1,1,1,0,7,2,5,100,229,30
Hotel Belloy Saint-Germain,https://www.tripadvisor.com/Hotel_Review-g187147-d198026-Reviews-Hotel_Belloy_Saint_Germain-Paris_Ile_de_France.html,"1,146",4.0,4,95.511112,4.8,85.50789999999999,4.3,1,1,0,1,1,0,1,1,1,1,1,1,1,11,0,11,100,521,194
Hotel d'Aubusson,https://www.tripadvisor.com/Hotel_Review-g187147-d194308-Reviews-Hotel_d_Aubusson-Paris_Ile_de_France.html,"1,312",4.5,4,98.22358,4.9,95.73446000000001,4.8,0,1,1,1,1,0,1,1,0,1,0,1,0,8,0,8,100,444,173
Neuville Arc de Triomphe Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197518-Reviews-Neuville_Arc_de_Triomphe_Hotel-Paris_Ile_de_France.html,232,4.5,4,89,4.5,94.14634,4.7,0,1,0,1,0,0,1,1,1,1,1,1,1,15,4,11,100,101,6
Hotel de Seine,https://www.tripadvisor.com/Hotel_Review-g187147-d236539-Reviews-Hotel_de_Seine-Paris_Ile_de_France.html,924,4.5,4,98.42105000000001,4.9,91.73585,4.6,1,1,0,1,0,0,1,1,1,1,1,1,0,16,2,14,100,421,180
Maison ELLE Paris Etoile,https://www.tripadvisor.com/Hotel_Review-g187147-d233674-Reviews-Maison_ELLE_Paris_Etoile-Paris_Ile_de_France.html,175,5.0,4,100,5.0,100,5.0,1,1,0,1,0,0,1,1,0,1,0,1,0,15,0,15,100,270,37
1K Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d472236-Reviews-1K_Paris-Paris_Ile_de_France.html,"1,221",4.5,4,90.06060599999999,4.5,89.56522,4.5,1,1,1,1,1,0,1,1,0,1,0,1,0,4,1,3,100,378,94
Plaza Tour Eiffel,https://www.tripadvisor.com/Hotel_Review-g187147-d228739-Reviews-Plaza_Tour_Eiffel-Paris_Ile_de_France.html,924,4.5,4,93.16901200000001,4.7,94.290714,4.7,1,1,1,1,0,0,1,1,1,1,0,1,0,13,1,12,100,109,30
Libertel Austerlitz Jardin des Plantes,https://www.tripadvisor.com/Hotel_Review-g187147-d229587-Reviews-Libertel_Austerlitz_Jardin_des_Plantes-Paris_Ile_de_France.html,797,4.0,4,83.294116,4.2,85.80646,4.3,0,1,0,1,0,0,1,1,0,1,0,1,0,6,1,5,99,46,17
Normandy Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197421-Reviews-Normandy_Hotel-Paris_Ile_de_France.html,54,4.5,4,100,5.0,97.14286,4.9,0,1,0,1,0,0,1,0,0,1,1,1,0,15,2,13,100,387,183
Hotel Da Vinci,https://www.tripadvisor.com/Hotel_Review-g187147-d6675948-Reviews-Hotel_Da_Vinci-Paris_Ile_de_France.html,"1,225",5.0,4,97.69503999999999,4.9,98.11448,4.9,0,1,0,1,1,0,1,1,1,1,1,1,0,7,0,7,100,163,118
Best Western Quartier Latin Pantheon,https://www.tripadvisor.com/Hotel_Review-g187147-d229627-Reviews-Best_Western_Quartier_Latin_Pantheon-Paris_Ile_de_France.html,406,4.0,4,90,4.5,87.22222000000001,4.4,1,1,0,1,0,0,1,1,1,1,1,1,0,5,1,4,100,275,77
The Hotel Cabane,https://www.tripadvisor.com/Hotel_Review-g187147-d197618-Reviews-The_Hotel_Cabane-Paris_Ile_de_France.html,884,4.5,4,87.6748,4.4,91.423892,4.6,0,1,0,1,0,0,1,1,0,1,1,1,0,7,2,5,100,147,35
Hotel Courcelles Etoile,https://www.tripadvisor.com/Hotel_Review-g187147-d207567-Reviews-Hotel_Courcelles_Etoile-Paris_Ile_de_France.html,374,4.0,4,87.65027,4.4,86.70050599999999,4.3,1,1,0,1,0,0,1,1,1,1,1,1,1,9,0,9,100,166,8
Au Pacific Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d232530-Reviews-Au_Pacific_Hotel-Paris_Ile_de_France.html,670,4.0,4,88.84057999999999,4.4,79.908466,4.0,0,1,0,0,0,0,1,1,0,1,1,0,0,12,0,12,100,140,17
Citadines Place d'Italie Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d197561-Reviews-Citadines_Place_d_Italie_Paris-Paris_Ile_de_France.html,592,4.0,4,89.55102,4.5,79.335794,4.0,0,1,0,1,0,0,1,1,1,1,0,1,1,5,1,4,93,141,53
Villa Royale,https://www.tripadvisor.com/Hotel_Review-g187147-d240923-Reviews-Villa_Royale-Paris_Ile_de_France.html,"1,085",4.0,4,83.11828,4.2,79.018088,4.0,0,1,0,1,1,0,1,1,0,1,0,1,0,9,2,7,100,459,133
Tiquetonne,https://www.tripadvisor.com/Hotel_Review-g187147-d235613-Reviews-Tiquetonne-Paris_Ile_de_France.html,699,4.0,4,93.450708,4.7,82.293,4.1,0,1,0,0,0,0,0,1,0,1,0,0,0,6,1,5,100,696,161
MERCURE PARIS OPERA GARNIER HOTEL & SPA,https://www.tripadvisor.com/Hotel_Review-g187147-d256389-Reviews-MERCURE_PARIS_OPERA_GARNIER_HOTEL_SPA-Paris_Ile_de_France.html,"1,578",4.0,4,92.909632,4.6,87.50479999999999,4.4,1,1,1,1,1,0,1,1,1,1,1,1,1,15,0,15,100,424,80
Lux Hotel Picpus,https://www.tripadvisor.com/Hotel_Review-g187147-d554230-Reviews-Lux_Hotel_Picpus-Paris_Ile_de_France.html,484,4.5,4,84.64968,4.2,89.0625,4.5,0,1,0,0,0,0,1,1,0,0,1,1,1,9,0,9,93,64,18
Libertel Montmartre Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d228773-Reviews-Libertel_Montmartre_Opera-Paris_Ile_de_France.html,798,4.0,4,84.14096799999999,4.2,88.227568,4.4,0,1,0,1,0,0,1,1,0,1,0,1,0,17,1,16,100,438,127
Hotel Observatoire Luxembourg,https://www.tripadvisor.com/Hotel_Review-g187147-d325717-Reviews-Hotel_Observatoire_Luxembourg-Paris_Ile_de_France.html,"1,439",4.5,4,93.68254,4.7,94.28129999999999,4.7,0,1,0,1,1,0,1,1,0,1,1,1,0,13,0,13,100,144,124
"The Hoxton, Paris",https://www.tripadvisor.com/Hotel_Review-g187147-d12537470-Reviews-The_Hoxton_Paris-Paris_Ile_de_France.html,"1,404",4.5,4,93.10638,4.7,95.83514,4.8,1,1,0,1,1,0,1,1,0,1,1,1,0,3,1,2,100,636,127
Hotel Joyce - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d1631156-Reviews-Hotel_Joyce_Astotel-Paris_Ile_de_France.html,"3,351",4.5,4,89.77806,4.5,95,4.8,0,1,0,1,1,0,1,1,0,1,1,1,1,19,2,17,100,388,115
Volney Opera Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d315167-Reviews-Volney_Opera_Hotel-Paris_Ile_de_France.html,639,4.5,4,95.81920600000001,4.8,85.95506,4.3,1,1,0,1,1,0,1,1,0,1,0,1,0,21,0,21,100,514,123
Le Relais Saint Charles,https://www.tripadvisor.com/Hotel_Review-g187147-d2510848-Reviews-Le_Relais_Saint_Charles-Paris_Ile_de_France.html,524,4.0,4,92.41026,4.6,89.5082,4.5,0,1,0,1,0,0,1,0,0,1,1,1,0,10,0,10,100,149,17
Hotel Le Marquis,https://www.tripadvisor.com/Hotel_Review-g187147-d290384-Reviews-Hotel_Le_Marquis-Paris_Ile_de_France.html,553,4.5,4,95.92591999999999,4.8,95.63218,4.8,1,1,0,1,1,0,1,1,0,1,0,1,0,9,1,8,100,116,18
Hotel A La Villa des Artistes,https://www.tripadvisor.com/Hotel_Review-g187147-d535056-Reviews-Hotel_A_La_Villa_des_Artistes-Paris_Ile_de_France.html,847,4.5,4,91.13095200000001,4.6,89.60893999999999,4.5,1,1,0,1,1,0,1,1,0,1,1,1,0,15,0,15,100,197,90
Hotel Waldorf Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d197616-Reviews-Hotel_Waldorf_Montparnasse-Paris_Ile_de_France.html,613,4.0,4,94.14634,4.7,85.98425,4.3,1,1,0,1,1,1,1,1,1,1,1,1,0,19,3,16,100,337,67
Hotel Le 209 Paris Bercy,https://www.tripadvisor.com/Hotel_Review-g187147-d207565-Reviews-Hotel_Le_209_Paris_Bercy-Paris_Ile_de_France.html,320,4.0,4,86.279068,4.3,90.37974,4.5,0,1,0,1,0,0,1,1,0,0,1,1,0,14,3,11,96,85,18
